Treatment,File,Intensity Start,Intensity End,Mode Frequency,Mode Intensity,Red Intensity Start,Red Intensity End,Red Mode Frequency,Red Mode Intensity,Normalized green/red histograms
exp 1,orange 1,37,255,2450,128,37,255,128,209,1.4472237
exp 1,orange 1,37,255,1804,128,37,255,136,209,1.5088995
exp 1,orange 1,37,255,681,128,37,255,127,209,0.78214324
exp 1,orange 1,74,255,1641,128,74,255,80,209,1.5907459
exp 1,orange 1,37,255,1379,128,37,255,153,209,0.9475294
exp 1,orange 1,37,255,1615,128,37,255,108,209,1.2947019
exp 1,orange 1,37,255,1027,128,37,255,106,209,0.79359806
exp 1,orange 1,37,255,1441,128,37,255,142,209,1.0896819
exp 1,orange 1,37,255,1203,128,37,255,129,209,1.0272743
exp 1,orange 1,110,255,1136,128,110,255,152,209,0.87272525
exp 1,orange 1,37,255,1042,128,37,255,100,209,0.9673002
exp 1,orange 2,12,255,313,192,12,255,315,236,0.8452736
exp 1,orange 2,12,255,352,195,12,255,312,239,0.84964
exp 1,orange 2,16,255,171,194,16,255,154,238,0.85787547
exp 1,orange 2,12,255,204,195,12,255,202,239,0.8542705
exp 1,orange 2,12,255,124,191,12,255,117,236,0.8608127
exp 1,orange 2,15,255,86,193,15,255,82,235,0.85728526
exp 1,orange 2,12,255,286,193,12,255,268,238,0.85309947
exp 1,orange 2,12,255,314,195,12,255,311,239,0.84741586
exp 1,orange 2,12,255,194,194,12,255,185,237,0.85621476
exp 1,orange 2,18,255,306,195,18,255,285,239,0.8459038
exp 1,orange 2,12,255,154,194,12,255,145,235,0.85434395
exp 1,orange 2,35,255,199,194,35,255,222,239,0.8451814
exp 1,orange 2,22,255,179,195,22,255,175,239,0.8551774
exp 1,orange 2,14,255,180,195,14,255,198,239,0.8479726
exp 1,orange 3,12,208,1326,152,12,208,1446,187,0.82881916
exp 1,orange 3,14,207,1123,152,14,207,1072,187,0.8287942
exp 1,orange 3,12,208,1064,152,12,208,1353,187,0.826784
exp 1,orange 3,14,208,1369,152,14,208,1390,187,0.82930994
exp 1,orange 3,12,207,491,152,12,207,542,187,0.8280969
exp 1,orange 3,12,206,1061,152,12,206,1047,187,0.8290549
