Treatment,File,Green intensity start,Green intensity end,Green most common,Green most common index,Red intensity start,Red intensity end,Red most common,Red most common index,Green/red most common index,Red-green most common index,Index
exp 1,orange 1,20,139,2450,128,37,255,128,209,81,0.6124401913875598,0
exp 1,orange 1,20,139,1804,128,37,255,136,209,81,0.6124401913875598,1
exp 1,orange 1,20,139,681,128,37,255,127,209,81,0.6124401913875598,2
exp 1,orange 1,41,139,1641,128,74,255,80,209,81,0.6124401913875598,3
exp 1,orange 1,20,139,1379,128,37,255,153,209,81,0.6124401913875598,4
exp 1,orange 1,20,139,1615,128,37,255,108,209,81,0.6124401913875598,5
exp 1,orange 1,20,139,1027,128,37,255,106,209,81,0.6124401913875598,6
exp 1,orange 1,20,139,1441,128,37,255,142,209,81,0.6124401913875598,7
exp 1,orange 1,20,139,1203,128,37,255,129,209,81,0.6124401913875598,8
exp 1,orange 1,60,139,1136,128,110,255,152,209,81,0.6124401913875598,9
exp 1,orange 1,20,139,1042,128,37,255,100,209,81,0.6124401913875598,10
exp 1,orange 2,2,221,313,192,4,255,315,236,44,0.8135593220338984,11
exp 1,orange 2,2,221,352,195,2,255,312,239,44,0.8158995815899581,12
exp 1,orange 2,3,223,171,194,16,255,154,238,44,0.8151260504201681,13
exp 1,orange 2,2,218,204,195,2,255,202,239,44,0.8158995815899581,14
exp 1,orange 2,2,223,124,191,11,255,117,236,45,0.809322033898305,15
exp 1,orange 2,2,217,86,193,2,255,82,235,42,0.8212765957446808,16
exp 1,orange 2,2,222,286,193,4,255,268,238,45,0.8109243697478992,17
exp 1,orange 2,2,218,314,195,2,255,311,239,44,0.8158995815899581,18
exp 1,orange 2,2,222,194,194,8,255,185,237,43,0.8185654008438819,19
exp 1,orange 2,2,223,306,195,4,255,285,239,44,0.8158995815899581,20
exp 1,orange 2,2,224,154,194,8,255,145,235,41,0.825531914893617,21
exp 1,orange 2,2,223,199,194,35,255,222,239,45,0.8117154811715481,22
exp 1,orange 2,2,222,179,195,2,255,175,239,44,0.8158995815899581,23
exp 1,orange 2,2,219,180,195,9,255,198,239,44,0.8158995815899581,24
exp 1,orange 3,2,175,1326,152,2,208,1446,187,35,0.8128342245989305,25
exp 1,orange 3,2,177,1123,152,5,207,1072,187,35,0.8128342245989305,26
exp 1,orange 3,2,176,1064,152,2,208,1353,187,35,0.8128342245989305,27
exp 1,orange 3,2,177,1369,152,2,208,1390,187,35,0.8128342245989305,28
exp 1,orange 3,2,176,491,152,2,207,542,187,35,0.8128342245989305,29
exp 1,orange 3,2,176,1061,152,2,206,1047,187,35,0.8128342245989305,30
exp 1,orange 3,2,173,927,152,5,206,1067,187,35,0.8128342245989305,31
exp 1,orange 3,2,175,764,152,2,207,833,187,35,0.8128342245989305,32
exp 1,orange 3,2,175,847,152,2,209,1035,187,35,0.8128342245989305,33
exp 1,orange 4,2,181,134,142,2,255,98,234,92,0.6068376068376068,34
exp 1,orange 4,2,180,171,140,4,255,117,238,98,0.5882352941176471,35
exp 1,orange 4,2,171,427,141,7,255,467,238,97,0.592436974789916,36
exp 1,orange 4,2,171,292,141,19,255,222,238,97,0.592436974789916,37
exp 1,orange 4,2,172,110,142,209,255,105,238,96,0.5966386554621849,38
exp 1,orange 4,2,175,755,141,19,255,938,238,97,0.592436974789916,39
exp 1,orange 4,2,178,137,141,2,255,83,230,89,0.6130434782608696,40
exp 1,orange 4,2,175,315,142,9,255,280,238,96,0.5966386554621849,41
exp 1,orange 4,2,179,105,142,2,255,70,236,94,0.6016949152542372,42
exp 1,orange 4,2,182,96,145,36,255,74,230,85,0.6304347826086957,43
exp 1,orange 4,2,178,267,141,22,255,219,238,97,0.592436974789916,44
exp 1,orange 4,130,176,417,141,84,255,362,238,97,0.592436974789916,45
exp 1,orange 4,5,173,439,141,50,255,526,238,97,0.592436974789916,46
exp 2,yellow 1,37,255,128,209,37,255,128,209,0,1.0,47
exp 2,yellow 1,37,255,136,209,37,255,136,209,0,1.0,48
exp 2,yellow 1,37,255,127,209,37,255,127,209,0,1.0,49
exp 2,yellow 1,74,255,80,209,74,255,80,209,0,1.0,50
exp 2,yellow 1,37,255,153,209,37,255,153,209,0,1.0,51
exp 2,yellow 1,37,255,108,209,37,255,108,209,0,1.0,52
exp 2,yellow 1,37,255,106,209,37,255,106,209,0,1.0,53
exp 2,yellow 1,37,255,142,209,37,255,142,209,0,1.0,54
exp 2,yellow 1,37,255,129,209,37,255,129,209,0,1.0,55
exp 2,yellow 1,110,255,152,209,110,255,152,209,0,1.0,56
exp 2,yellow 1,37,255,100,209,37,255,100,209,0,1.0,57
exp 2,yellow 2,2,253,234,236,2,255,140,239,3,0.9874476987447699,58
exp 2,yellow 2,2,253,269,236,2,255,168,239,3,0.9874476987447699,59
exp 2,yellow 2,2,253,129,235,2,255,77,238,3,0.9873949579831933,60
exp 2,yellow 2,2,252,166,236,2,255,88,239,3,0.9874476987447699,61
exp 2,yellow 2,2,253,123,235,2,255,71,239,4,0.9832635983263598,62
exp 2,yellow 2,2,252,101,235,2,255,65,239,4,0.9832635983263598,63
exp 2,yellow 2,2,252,69,235,2,255,56,239,4,0.9832635983263598,64
exp 2,yellow 2,2,252,92,236,2,255,52,238,2,0.9915966386554622,65
exp 2,yellow 2,2,251,66,233,2,255,55,238,5,0.9789915966386554,66
exp 2,yellow 2,2,253,264,236,2,255,164,239,3,0.9874476987447699,67
exp 2,yellow 2,2,253,202,236,2,255,110,239,3,0.9874476987447699,68
exp 2,yellow 2,2,253,216,234,2,255,126,239,5,0.9790794979079498,69
exp 2,yellow 2,2,253,224,236,2,255,133,239,3,0.9874476987447699,70
exp 2,yellow 2,2,253,179,237,2,255,104,239,2,0.9916317991631799,71
exp 2,yellow 2,2,253,179,235,2,255,107,238,3,0.9873949579831933,72
exp 2,yellow 2,2,253,199,235,2,255,112,239,4,0.9832635983263598,73
exp 2,yellow 2,2,253,156,235,2,255,104,239,4,0.9832635983263598,74
exp 2,yellow 3,2,207,496,186,2,208,737,186,0,1.0,75
exp 2,yellow 3,2,211,529,187,2,208,690,186,-1,1.0053763440860215,76
exp 2,yellow 3,3,209,709,187,2,207,1020,186,-1,1.0053763440860215,77
exp 2,yellow 3,2,207,942,187,5,207,988,186,-1,1.0053763440860215,78
exp 2,yellow 3,2,209,230,185,2,211,223,184,-1,1.0054347826086956,79
exp 2,yellow 3,2,206,468,187,2,206,762,186,-1,1.0053763440860215,80
exp 2,yellow 3,2,206,637,187,2,205,889,186,-1,1.0053763440860215,81
exp 2,yellow 3,2,208,279,187,2,207,367,186,-1,1.0053763440860215,82
exp 2,yellow 3,2,208,342,187,2,207,401,186,-1,1.0053763440860215,83
exp 2,yellow 4,7,230,96,196,21,236,89,201,5,0.9751243781094527,84
exp 2,yellow 4,2,230,150,196,2,240,154,208,12,0.9423076923076923,85
exp 2,yellow 4,2,230,126,193,2,241,107,202,9,0.9554455445544554,86
exp 2,yellow 4,2,228,99,194,4,240,103,203,9,0.9556650246305419,87
exp 2,yellow 4,2,230,220,196,2,237,279,209,13,0.937799043062201,88
exp 2,yellow 4,2,228,80,192,8,237,86,196,4,0.9795918367346939,89
exp 2,yellow 4,2,226,222,195,4,236,218,209,14,0.9330143540669856,90
exp 2,yellow 4,7,226,154,195,14,235,151,211,16,0.9241706161137441,91
exp 2,yellow 4,2,225,213,195,2,231,206,205,10,0.9512195121951219,92
exp 2,yellow 4,11,224,156,195,8,235,123,211,16,0.9241706161137441,93
exp 2,yellow 5,2,250,116,216,2,255,99,232,16,0.9310344827586207,94
exp 2,yellow 5,2,250,132,213,2,255,122,234,21,0.9102564102564102,95
exp 2,yellow 5,2,252,87,216,2,255,89,227,11,0.9515418502202643,96
exp 2,yellow 5,9,249,215,214,23,255,230,234,20,0.9145299145299145,97
exp 2,yellow 5,2,248,152,216,5,255,141,233,17,0.927038626609442,98
exp 2,yellow 5,2,248,82,214,2,255,71,226,12,0.9469026548672567,99
